user_id,user_login,pull_request_url,comment_id,created_at,path,diff_hunk,content,code_smell
1359421,justinmk,https://api.github.com/repos/neovim/neovim/pulls/4527,58486999,2016-04-05T04:59:06Z,src/nvim/option.c,"@@ -2455,15 +2455,9 @@ did_set_string_option (   }   /* 'helpfile' */   else if (varp == &p_hf) {-    /* May compute new values for $VIM and $VIMRUNTIME */-    if (didset_vim) {-      vim_setenv(""VIM"", """");-      didset_vim = FALSE;-    }-    if (didset_vimruntime) {-      vim_setenv(""VIMRUNTIME"", """");-      didset_vimruntime = FALSE;-    }+    // May compute new values for $VIM and $VIMRUNTIME+    vim_setenv(""VIM"", """");+    vim_setenv(""VIMRUNTIME"", """");","With the old logic, if VIMRUNTIME was inherited from the environment, then `:set helpfile=...` will not unset it. Although this feature probably isn't used much, in general we want to avoid unsetting env vars because it affects `:term`, `:!`, etc. Especially we don't want to do that as a side-effect of `set helpfile`--at least not _more_ often...It's great to remove globals, but these `didset_` globals are mostly harmless as long as they aren't used by many interacting components.",X
1363104,bfredl,https://api.github.com/repos/neovim/neovim/pulls/4540,59116922,2016-04-09T15:38:23Z,test/functional/ui/highlight_spec.lua,"@@ -16,6 +17,91 @@ describe('color scheme compatibility', function()   end) end) +describe('buffer switching leaves manual syntax highlights ok', function()+  -- When using manual syntax highlighting, it should be preserved even when+  -- switching buffers... bug did only occur without :set hidden+  -- Ref: vim patch 7.4.1236+  local screen++  before_each(function()+    clear()+    screen = Screen.new()+    screen:attach()+    --ignore highligting of ~-lines+    screen:set_default_attr_ignore( {{bold=true, foreground=Screen.colors.Blue}} )+    --syntax highlight for vimcscripts ""echo""+    screen:set_default_attr_ids( {{bold=true, foreground=Screen.colors.Brown}} )","please use `[1] =`, even if it's technically redundant, it maintains the visual connection with the usages `{1:...}` below. ",
1359421,justinmk,https://api.github.com/repos/neovim/neovim/pulls/4553,59145838,2016-04-11T00:59:38Z,test/functional/provider/define_spec.lua,"@@ -333,6 +333,39 @@ local function function_specs_for(fn, sync, first_arg_factory, init)           runx(sync, handler, on_setup)         end)       end)++      describe('with range', function()","I agree we should move away from the odd pattern in this test. It's come up before, but we keep adding more tests using the existing pattern. @snoe If you wouldn't mind, it would be preferable to collapse each `describe()` block containing a single `it()`, to just an `it()` without a `describe()`.There are no `setup()` nor `teardown()` functions in this file (which apply to `describe()` blocks), so I don't see a reason for the current structure.",X
4466899,tjdevries,https://api.github.com/repos/neovim/neovim/pulls/4489,59554546,2016-04-13T14:11:58Z,test/unit/buffer_spec.lua,"@@ -293,11 +298,131 @@ describe('buffer functions', function()     it('should print the number of lines in the buffer', function()       buffer.setfname(globals.curbuf, to_cstr(""test/unit/buffer_spec.lua""), NULL, 1) -      local width = build_stl_str_hl(""%L"")+      local width = build_stl_str_hl(""%L"", 80)        eq(1, width)       eq(""1"", helpers.ffi.string(output_buffer, width))      end)++    it('should right align when using =', function()+      buffer.setfname(globals.curbuf, to_cstr(""test/unit/buffer_spec.lua""), NULL, 1)++      local expected_width = 20+      local width = build_stl_str_hl(""neo%=vim"", expected_width)++      eq(width, expected_width)+      eq(""neo              vim"", get_str(output_buffer, expected_width))+    end)++    it('should approximately center text when using %=text%=', function()+      buffer.setfname(globals.curbuf, to_cstr(""test/unit/buffer_spec.lua""), NULL, 1)++      local expected_width = 20+      local width = build_stl_str_hl(""abc%=neovim%=def"", expected_width)++      eq(width, expected_width)+      eq(""abc    neovim    def"", get_str(output_buffer, expected_width))+    end)++    it('should completely fill the buffer when using %=text%=', function()+      -- This tests to make sure that it still fills the buffer, even when+      --  we don't have perfectly equal spacing+      buffer.setfname(globals.curbuf, to_cstr(""test/unit/buffer_spec.lua""), NULL, 1)++      local expected_width = 20+      local width = build_stl_str_hl(""abc%=neo_vim%=def"", expected_width)++      eq(width, expected_width)+      eq(""abc   neo_vim    def"", get_str(output_buffer, expected_width))+    end)++    it('should correctly quadrant the text when using 3 %=\'s', function()+      buffer.setfname(globals.curbuf, to_cstr(""test/unit/buffer_spec.lua""), NULL, 1)++      local expected_width = 40+      local width = build_stl_str_hl(""abc%=n%=eovim%=def"", expected_width)++      eq(width, width)+      eq(""abc         n         eovim          def"", get_str(output_buffer, expected_width))+    end)++    it('should truncate when standard text pattern is too long', function()+      -- This is the standard way Vim truncates text when it is too long+      buffer.setfname(globals.curbuf, to_cstr(""test/unit/buffer_spec.lua""), NULL, 1)++      local pat = ""abcneovimdef""+      local expected_width = 10+      local width = build_stl_str_hl(pat, expected_width)++      eq(width, width)+      eq(""<neovimdef"", get_str(output_buffer, expected_width))+    end)++    it('should truncate when using =', function()+      buffer.setfname(globals.curbuf, to_cstr(""test/unit/buffer_spec.lua""), NULL, 1)++      local pat = ""abcdef%=ghijkl""+      local expected_width = 10+      local width = build_stl_str_hl(pat, expected_width)++      eq(width, expected_width)+      -- It puts all of the text that is left aligned in the buffer,+      --    and then truncates the text on the right.+      eq(""abcdef<jkl"",  get_str(output_buffer, expected_width))+    end)++    it('should truncate centered text when using %=%=', function()+      -- Is this a desired behavior?+      buffer.setfname(globals.curbuf, to_cstr(""test/unit/buffer_spec.lua""), NULL, 1)++      local pat = ""abc%=this_text_should_be_gone%=def""+      local expected_width = 7+      local width = build_stl_str_hl(pat, expected_width)++      eq(width, expected_width)+      eq(""abc<def"", get_str(output_buffer, expected_width))+    end)","I'm not sure exactly how to do that. Also, I'm not sure how well supported that is currently. While reading through the code, I saw this:https://github.com/neovim/neovim/blob/master/src/nvim/buffer.c#L2914 ",
322097,ZyX-I,https://api.github.com/repos/neovim/neovim/pulls/4398,59581496,2016-04-13T16:38:00Z,test/functional/plugin/shada_spec.lua,"@@ -184,7 +154,7 @@ describe('In autoload/shada.vim', function()         '  + b                 2',         '  + c    column       3',         '  + d                 4',-      }, {{type=1, timestamp=0, data=st({a=1, b=2, c=3, d=4})}})","AFAIR it is needed for the test because to check that resulting order does not depend on initial order one needs to have known initial order. Using different order will not make test fail if everything is fine, but it may make test _not_ fail if something is _not_ fine with the ordering. Though it looks like here test was not actually doing what intended: before data reaches tested VimL function it will be transformed into a VimL dictionary: without keeping order obviously.",X
1363104,bfredl,https://api.github.com/repos/neovim/neovim/pulls/4597,60130155,2016-04-18T20:40:26Z,src/nvim/eval.c,"@@ -14456,11 +14456,11 @@ static void f_setreg(typval_T *argvars, typval_T *rettv)   char_u      *strregname;   char_u      *stropt;   bool append = false;-  char_u yank_type;+  MotionType yank_type;   long block_len;    block_len = -1;-  yank_type = MAUTO;+  yank_type = kUnknownMotion;","Dunno,  ""when motion_type == kLineWise, ..."" in a doc/comment (prose) reads naturally as ""when the motion type is linewise"" and is at the same time clear with how the condition looks in code. I can add  MT if the style mandates it but I don't see the value (what usage below is unclear) and why then are we already adding enums that don't follow it.",
322097,ZyX-I,https://api.github.com/repos/neovim/neovim/pulls/4597,60130640,2016-04-18T20:43:35Z,src/nvim/eval.c,"@@ -14456,11 +14456,11 @@ static void f_setreg(typval_T *argvars, typval_T *rettv)   char_u      *strregname;   char_u      *stropt;   bool append = false;-  char_u yank_type;+  MotionType yank_type;   long block_len;    block_len = -1;-  yank_type = MAUTO;+  yank_type = kUnknownMotion;","It is better to ask people which add enums that do not follow it why. I do not add such enums. Common prefix indicates that value belongs to some enum, it also provides a way to easily search for all places where any enum value is mentioned.",X
322097,ZyX-I,https://api.github.com/repos/neovim/neovim/pulls/4618,60395928,2016-04-20T12:12:54Z,test/functional/legacy/eval_spec.lua,"@@ -495,6 +495,18 @@ describe('eval', function()       ' abcE4b10-4\000abcE4b10-4-2')   end) +  it(""setreg('0',getreg('a',1,1)) doesn't crash for unset register"", function()","No, wrong. Do not use `setreg` here _at all_, test that `getreg('a', 1, 1) isnot# v:_null_list`. Or that it can be extended.",X
1363104,bfredl,https://api.github.com/repos/neovim/neovim/pulls/4618,60396151,2016-04-20T12:14:56Z,test/functional/legacy/eval_spec.lua,"@@ -495,6 +495,18 @@ describe('eval', function()       ' abcE4b10-4\000abcE4b10-4-2')   end) +  it(""setreg('0',getreg('a',1,1)) doesn't crash for unset register"", function()","well it is a functional test, `setreg(getreg())` is something a register plugin actually would do.  (and this is a real crash when using my own clipboard manager plugin).But we should fix and test `setreg(""0"", v:_null_list)` as well, for sure (really I would like to just remove NULL list, we can use an interned fixed empty list for that purpose, but there is too many cases to check I guess so we need to support it for now)",X
322097,ZyX-I,https://api.github.com/repos/neovim/neovim/pulls/4618,60396787,2016-04-20T12:20:36Z,test/functional/legacy/eval_spec.lua,"@@ -495,6 +495,18 @@ describe('eval', function()       ' abcE4b10-4\000abcE4b10-4-2')   end) +  it(""setreg('0',getreg('a',1,1)) doesn't crash for unset register"", function()","Vim has NULL lists, dictionaries and strings. Hopefully not funcrefs. I do not know a way to produce a NULL dictionary (except for `v:_null_dict`) and did not see crash reports (though most likely there will be some once I start testing), but NULL strings already produced bugs, including the one after which I added `v:_null_���` variables. Since testing that NULL x does not produce a crash is easier then making sure that NULL x does not appear in first place I would suggest to keep them all, but create `test/functional/viml/null_spec.lua` with contents similar to that in #4615.",X
